step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
1000,586,264,82,29,33,0,0.5895,0.2656,0.0825,0.0292,0.0332,1.6509,11,3,1,0,1,16,1.5625
2000,1108,579,165,62,56,0,0.5624,0.2939,0.0838,0.0315,0.0284,1.6695,24,8,3,0,1,36,1.5000
3000,1211,572,147,44,29,0,0.6046,0.2856,0.0734,0.0220,0.0145,1.5562,29,11,4,0,1,45,1.5111
4000,1312,546,108,22,8,0,0.6573,0.2735,0.0541,0.0110,0.0040,1.4309,31,14,6,0,1,52,1.5769
5000,1405,488,83,7,2,0,0.7078,0.2458,0.0418,0.0035,0.0010,1.3441,34,18,8,0,1,61,1.6230
6000,1490,426,56,4,0,0,0.7540,0.2156,0.0283,0.0020,0.0000,1.2783,40,22,8,0,1,71,1.5915
7000,1550,381,37,2,1,0,0.7864,0.1933,0.0188,0.0010,0.0005,1.2359,45,21,9,0,1,76,1.5658
8000,1638,321,15,1,0,0,0.8294,0.1625,0.0076,0.0005,0.0000,1.1792,42,21,8,0,1,72,1.5694
9000,1679,276,12,0,0,0,0.8536,0.1403,0.0061,0.0000,0.0000,1.1525,51,21,8,0,1,81,1.5062
10000,1722,228,7,0,0,0,0.8799,0.1165,0.0036,0.0000,0.0000,1.1237,60,22,8,0,1,91,1.4615
11000,1749,199,3,0,0,0,0.8965,0.1020,0.0015,0.0000,0.0000,1.1051,66,21,8,0,1,96,1.4271
12000,1758,181,3,0,0,0,0.9053,0.0932,0.0015,0.0000,0.0000,1.0963,75,20,8,0,1,104,1.3846
13000,1799,133,4,0,1,0,0.9288,0.0687,0.0021,0.0000,0.0005,1.0749,82,21,7,0,1,111,1.3514
14000,1824,115,0,0,0,0,0.9407,0.0593,0.0000,0.0000,0.0000,1.0593,81,19,7,0,1,108,1.3426
15000,1843,96,0,0,0,0,0.9505,0.0495,0.0000,0.0000,0.0000,1.0495,83,19,6,0,1,109,1.3211
16000,1846,92,0,1,0,0,0.9520,0.0474,0.0000,0.0005,0.0000,1.0490,85,18,5,0,1,109,1.2936
17000,1843,88,1,0,0,0,0.9539,0.0455,0.0005,0.0000,0.0000,1.0466,93,17,4,0,1,115,1.2522
18000,1829,94,2,0,0,0,0.9501,0.0488,0.0010,0.0000,0.0000,1.0509,103,15,4,0,1,123,1.2195
19000,1830,86,3,0,0,0,0.9536,0.0448,0.0016,0.0000,0.0000,1.0479,111,13,4,0,1,129,1.1938
20000,1842,76,1,0,0,0,0.9599,0.0396,0.0005,0.0000,0.0000,1.0406,112,12,4,0,1,129,1.1860
21000,1849,66,1,0,0,0,0.9650,0.0344,0.0005,0.0000,0.0000,1.0355,115,11,4,0,1,131,1.1756
22000,1854,63,1,0,0,0,0.9666,0.0328,0.0005,0.0000,0.0000,1.0339,114,11,3,0,1,129,1.1628
23000,1857,52,1,0,0,0,0.9723,0.0272,0.0005,0.0000,0.0000,1.0283,124,10,3,0,1,138,1.1449
24000,1838,71,1,0,1,0,0.9618,0.0372,0.0005,0.0000,0.0005,1.0403,123,9,3,0,1,136,1.1397
25000,1848,59,1,0,0,0,0.9686,0.0309,0.0005,0.0000,0.0000,1.0320,126,9,3,0,1,139,1.1367
26000,1845,57,2,0,0,0,0.9690,0.0299,0.0011,0.0000,0.0000,1.0320,131,9,2,0,1,143,1.1189
27000,1852,49,0,0,0,0,0.9742,0.0258,0.0000,0.0000,0.0000,1.0258,135,9,2,0,1,147,1.1156
28000,1851,51,0,0,0,0,0.9732,0.0268,0.0000,0.0000,0.0000,1.0268,134,9,2,0,1,146,1.1164
29000,1856,44,0,0,0,0,0.9768,0.0232,0.0000,0.0000,0.0000,1.0232,136,8,2,0,1,147,1.1088
30000,1853,45,0,0,1,0,0.9758,0.0237,0.0000,0.0000,0.0005,1.0258,138,8,2,0,1,149,1.1074
31000,1863,42,0,1,0,0,0.9774,0.0220,0.0000,0.0005,0.0000,1.0236,130,9,2,0,1,142,1.1197
32000,1861,43,0,2,0,0,0.9764,0.0226,0.0000,0.0010,0.0000,1.0257,129,10,2,0,1,142,1.1268
33000,1876,39,0,0,0,0,0.9796,0.0204,0.0000,0.0000,0.0000,1.0204,120,10,2,0,1,133,1.1353
34000,1869,42,1,0,0,0,0.9775,0.0220,0.0005,0.0000,0.0000,1.0230,123,10,2,0,1,136,1.1324
35000,1867,46,0,0,0,0,0.9760,0.0240,0.0000,0.0000,0.0000,1.0240,121,10,2,0,1,134,1.1343
36000,1862,42,1,0,0,0,0.9774,0.0220,0.0005,0.0000,0.0000,1.0231,128,10,2,0,1,141,1.1277
37000,1864,47,0,0,0,0,0.9754,0.0246,0.0000,0.0000,0.0000,1.0246,123,10,2,0,1,136,1.1324
38000,1865,45,1,0,0,0,0.9759,0.0235,0.0005,0.0000,0.0000,1.0246,124,10,2,0,1,137,1.1314
39000,1846,64,1,0,0,0,0.9660,0.0335,0.0005,0.0000,0.0000,1.0345,124,9,2,0,1,136,1.1250
40000,1836,68,2,0,0,0,0.9633,0.0357,0.0010,0.0000,0.0000,1.0378,130,10,2,0,0,142,1.0986
41000,1397,49,2,0,0,356,0.9648,0.0338,0.0014,0.0000,0.0000,1.0366,132,10,2,0,0,144,1.0972
42000,966,43,2,0,5,642,0.9508,0.0423,0.0020,0.0000,0.0049,1.0659,140,10,2,0,0,152,1.0921
43000,563,33,2,2,7,899,0.9275,0.0544,0.0033,0.0033,0.0115,1.1170,141,10,2,0,0,153,1.0915
44000,261,20,17,7,12,1029,0.8233,0.0631,0.0536,0.0221,0.0379,1.3880,143,11,2,0,0,156,1.0962
45000,142,35,21,7,18,999,0.6368,0.1570,0.0942,0.0314,0.0807,1.7623,146,11,3,0,1,161,1.1304
46000,123,48,26,14,22,942,0.5279,0.2060,0.1116,0.0601,0.0944,1.9871,149,11,3,0,1,164,1.1280
47000,88,35,29,16,36,919,0.4314,0.1716,0.1422,0.0784,0.1765,2.3971,156,11,3,0,1,171,1.1228
