step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
1000,382,301,163,69,35,27,0.4021,0.3168,0.1716,0.0726,0.0368,2.0253
2000,754,521,281,101,52,108,0.4412,0.3049,0.1644,0.0591,0.0304,1.9327
3000,532,503,288,111,49,433,0.3587,0.3392,0.1942,0.0748,0.0330,2.0843
4000,260,379,262,110,48,670,0.2455,0.3579,0.2474,0.1039,0.0453,2.3456
5000,178,266,222,114,50,672,0.2145,0.3205,0.2675,0.1373,0.0602,2.5084
6000,126,178,201,119,59,720,0.1845,0.2606,0.2943,0.1742,0.0864,2.7174
7000,75,153,178,142,75,736,0.1204,0.2456,0.2857,0.2279,0.1204,2.9823
8000,40,110,186,150,96,798,0.0687,0.1890,0.3196,0.2577,0.1649,3.2612
9000,32,75,207,185,125,775,0.0513,0.1202,0.3317,0.2965,0.2003,3.4744
10000,13,67,231,246,151,688,0.0184,0.0946,0.3263,0.3475,0.2133,3.6427
11000,5,51,277,295,196,655,0.0061,0.0619,0.3362,0.3580,0.2379,3.7597
12000,10,49,275,339,252,648,0.0108,0.0530,0.2973,0.3665,0.2724,3.8368
13000,13,45,251,378,310,628,0.0130,0.0451,0.2518,0.3791,0.3109,3.9298
14000,6,50,254,424,370,611,0.0054,0.0453,0.2301,0.3841,0.3351,3.9982
15000,4,45,218,447,417,554,0.0035,0.0398,0.1927,0.3952,0.3687,4.0858
16000,1,31,210,518,470,510,0.0008,0.0252,0.1707,0.4211,0.3821,4.1585
17000,13,28,183,548,510,516,0.0101,0.0218,0.1427,0.4275,0.3978,4.1810
18000,2,12,166,566,565,510,0.0015,0.0092,0.1266,0.4317,0.4310,4.2815
19000,3,7,129,595,616,464,0.0022,0.0052,0.0956,0.4407,0.4563,4.3437
20000,3,5,117,599,692,406,0.0021,0.0035,0.0826,0.4230,0.4887,4.3927
21000,1,4,116,594,758,383,0.0007,0.0027,0.0788,0.4033,0.5146,4.4284
22000,2,7,126,601,805,335,0.0013,0.0045,0.0818,0.3900,0.5224,4.4276
23000,5,5,118,658,855,316,0.0030,0.0030,0.0719,0.4010,0.5210,4.4339
24000,6,6,86,615,868,307,0.0038,0.0038,0.0544,0.3890,0.5490,4.4756
25000,1,6,80,629,937,251,0.0006,0.0036,0.0484,0.3805,0.5668,4.5094
26000,1,3,85,594,997,264,0.0006,0.0018,0.0506,0.3536,0.5935,4.5375
27000,1,2,83,603,1030,232,0.0006,0.0012,0.0483,0.3508,0.5992,4.5468
28000,2,4,74,586,1069,234,0.0012,0.0023,0.0427,0.3378,0.6161,4.5654
29000,3,7,75,583,1113,199,0.0017,0.0039,0.0421,0.3273,0.6249,4.5699
30000,0,11,66,526,1132,223,0.0000,0.0063,0.0380,0.3032,0.6524,4.6017
31000,0,3,59,520,1191,188,0.0000,0.0017,0.0333,0.2933,0.6717,4.6351
32000,0,2,58,564,1272,104,0.0000,0.0011,0.0306,0.2975,0.6709,4.6382
33000,0,2,45,562,1341,71,0.0000,0.0010,0.0231,0.2882,0.6877,4.6626
34000,0,3,47,576,1348,46,0.0000,0.0015,0.0238,0.2918,0.6829,4.6560
35000,0,3,42,580,1391,17,0.0000,0.0015,0.0208,0.2877,0.6900,4.6662
36000,1,5,49,597,1371,17,0.0005,0.0025,0.0242,0.2951,0.6777,4.6471
37000,2,6,57,613,1367,1,0.0010,0.0029,0.0279,0.2998,0.6685,4.6318
38000,4,9,76,655,1301,1,0.0020,0.0044,0.0372,0.3203,0.6362,4.5844
39000,4,19,113,675,1233,1,0.0020,0.0093,0.0553,0.3302,0.6032,4.5235
40000,4,15,134,676,1203,9,0.0020,0.0074,0.0659,0.3327,0.5920,4.5054
41000,6,17,135,689,1193,5,0.0029,0.0083,0.0662,0.3377,0.5848,4.4931
42000,2,15,145,688,1162,22,0.0010,0.0075,0.0721,0.3419,0.5775,4.4876
43000,2,16,151,702,1147,23,0.0010,0.0079,0.0748,0.3479,0.5684,4.4747
44000,3,18,160,732,1117,7,0.0015,0.0089,0.0788,0.3606,0.5502,4.4493
45000,5,21,177,752,1079,9,0.0025,0.0103,0.0870,0.3697,0.5305,4.4154
46000,7,22,189,783,1026,15,0.0035,0.0109,0.0932,0.3863,0.5062,4.3809
47000,11,25,180,773,1028,22,0.0055,0.0124,0.0892,0.3832,0.5097,4.3793
