step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
1000,a,465,169,465,0,0.7334,224,56,453,0,465
2000,a,426,48,426,0,0.8987,231,28,848,0,891
3000,a,349,27,349,0,0.9282,105,7,1096,0,1240
4000,a,315,17,315,0,0.9488,33,1,1153,0,1555
5000,a,329,16,329,0,0.9536,43,1,1162,0,1884
6000,a,328,12,328,0,0.9647,38,2,1174,0,2212
7000,a,324,12,324,0,0.9643,30,2,1178,0,2536
8000,a,327,18,327,0,0.9478,42,0,1185,0,2863
9000,a,325,15,325,0,0.9559,47,2,1183,0,3188
10000,a,312,22,312,0,0.9341,31,2,1179,0,3500
11000,a,324,19,324,0,0.9446,41,2,1179,0,3824
12000,a,327,24,327,0,0.9316,51,4,1196,0,4151
13000,a,318,18,318,0,0.9464,46,3,1192,0,4469
14000,a,322,18,322,0,0.9471,33,1,1209,0,4791
15000,a,326,14,326,0,0.9588,34,0,1215,0,5117
16000,a,320,16,320,0,0.9524,43,1,1197,0,5437
17000,a,321,12,321,0,0.9640,31,1,1196,0,5758
18000,a,332,13,332,0,0.9623,40,2,1208,0,6090
19000,a,319,22,319,0,0.9355,34,3,1214,0,6409
20000,a,307,31,307,0,0.9083,36,6,1192,0,6716
21000,a,332,16,332,0,0.9540,39,2,1221,0,7048
22000,a,316,16,316,0,0.9518,33,0,1209,0,7364
23000,a,323,18,323,0,0.9472,38,0,1209,0,7687
24000,a,320,26,320,0,0.9249,49,2,1208,0,8007
25000,a,312,20,312,0,0.9398,35,3,1197,0,8319
26000,a,325,14,325,0,0.9587,39,2,1197,0,8644
27000,a,323,14,323,0,0.9585,26,2,1207,0,8967
28000,a,323,11,323,0,0.9671,24,0,1202,0,9290
29000,a,323,16,323,0,0.9528,31,1,1195,0,9613
30000,a,325,18,325,0,0.9475,27,1,1210,0,9938
31000,a,314,22,314,0,0.9345,26,4,1194,0,10252
32000,a,327,21,327,0,0.9397,46,7,1194,0,10579
33000,a,313,24,313,0,0.9288,27,1,1206,0,10892
34000,a,322,13,322,0,0.9612,31,2,1193,0,11214
35000,a,329,14,329,0,0.9592,36,1,1204,0,11543
36000,a,325,13,325,0,0.9615,29,0,1213,0,11868
37000,a,318,23,318,0,0.9326,39,0,1203,0,12186
38000,a,332,12,332,0,0.9651,43,4,1215,0,12518
39000,a,314,15,314,0,0.9544,32,2,1200,0,12832
40000,a,330,15,330,0,0.9565,39,1,1214,0,13162
41000,a,315,19,315,0,0.9431,35,1,1201,0,13477
42000,a,326,18,326,0,0.9477,35,1,1215,0,13803
43000,a,322,14,322,0,0.9583,40,1,1204,0,14125
44000,a,320,16,320,0,0.9524,32,0,1205,0,14445
45000,a,326,14,326,0,0.9588,38,2,1203,0,14771
46000,a,329,16,329,0,0.9536,44,1,1217,0,15100
47000,a,319,13,319,0,0.9608,34,1,1210,0,15419
48000,a,330,13,330,0,0.9621,48,0,1213,0,15749
49000,a,321,16,321,0,0.9525,33,0,1223,0,16070
50000,a,327,13,327,0,0.9618,44,3,1216,0,16397
51000,a,316,19,316,0,0.9433,41,3,1205,0,16713
52000,a,318,20,318,0,0.9408,31,1,1211,0,17031
53000,a,331,13,331,0,0.9622,38,2,1222,0,17362
54000,a,308,27,308,0,0.9194,29,5,1206,0,17670
55000,a,320,22,320,0,0.9357,34,5,1205,0,17990
56000,a,325,12,325,0,0.9644,35,0,1208,0,18315
57000,a,330,12,330,0,0.9649,46,0,1211,0,18645
58000,a,312,24,312,0,0.9286,37,1,1203,0,18957
59000,a,325,20,325,0,0.9420,40,5,1211,0,19282
60000,a,320,17,320,0,0.9496,41,3,1206,0,19602
61000,a,318,12,318,0,0.9636,31,3,1194,0,19920
62000,a,327,15,327,0,0.9561,41,0,1198,0,20247
63000,a,328,13,328,0,0.9619,34,1,1214,0,20575
64000,a,324,11,324,0,0.9672,41,0,1202,0,20899
65000,a,326,21,326,0,0.9395,50,2,1211,0,21225
66000,a,316,14,316,0,0.9576,34,0,1205,0,21541
67000,a,330,7,330,0,0.9792,34,1,1208,0,21871
68000,a,321,17,321,0,0.9497,41,1,1198,0,22192
69000,a,322,20,322,0,0.9415,46,6,1194,0,22514
70000,a,319,18,319,0,0.9466,31,0,1208,0,22833
71000,a,323,21,323,0,0.9390,33,1,1216,0,23156
72000,a,325,13,325,0,0.9615,37,2,1212,0,23481
73000,a,324,20,324,0,0.9419,32,4,1227,0,23805
74000,a,318,20,318,0,0.9408,29,4,1224,0,24123
75000,a,331,15,331,0,0.9566,48,2,1230,0,24454
76000,a,320,22,320,0,0.9357,41,3,1240,0,24774
77000,a,324,10,324,0,0.9701,45,0,1231,0,25098
78000,a,310,18,310,0,0.9451,32,2,1208,0,25408
79000,a,324,11,324,0,0.9672,28,1,1207,0,25732
80000,a,325,18,325,0,0.9475,40,2,1205,0,26057
81000,a,315,23,315,0,0.9320,40,1,1197,0,26372
82000,a,333,9,333,0,0.9737,44,2,1209,0,26705
83000,a,319,18,319,0,0.9466,34,3,1211,0,27024
84000,a,323,10,323,0,0.9700,28,1,1208,0,27347
85000,a,317,13,317,0,0.9606,23,0,1191,0,27664
