step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
159000,b,248,270,0,270,0.4788,100,102,0,0,40029
160000,b,265,213,0,213,0.5544,75,83,0,0,40242
161000,b,251,260,0,260,0.4912,80,100,0,0,40502
162000,b,248,250,0,250,0.4980,92,84,0,0,40752
163000,b,238,247,0,247,0.4907,77,69,0,0,40999
164000,b,263,255,0,255,0.5077,91,91,0,0,41254
165000,b,256,247,0,247,0.5089,102,86,0,0,41501
166000,b,238,248,0,248,0.4897,75,85,0,0,41749
167000,b,238,271,0,271,0.4676,71,107,0,0,42020
168000,b,247,248,0,248,0.4990,80,88,0,0,42268
169000,b,239,251,0,251,0.4878,67,81,0,0,42519
170000,b,272,229,0,229,0.5429,84,66,0,0,42748
171000,b,268,253,0,253,0.5144,94,98,0,0,43001
172000,b,265,240,0,240,0.5248,101,101,0,0,43241
173000,b,252,233,0,233,0.5196,86,86,0,0,43474
174000,b,257,256,0,256,0.5010,107,91,0,0,43730
175000,b,240,253,0,253,0.4868,93,91,0,0,43983
176000,b,252,246,0,246,0.5060,87,93,0,0,44229
177000,b,254,237,0,237,0.5173,91,71,0,0,44466
178000,b,216,288,0,288,0.4286,66,104,0,0,44754
179000,b,249,250,0,250,0.4990,78,90,0,0,45004
180000,b,250,251,0,251,0.4990,81,89,0,0,45255
