start,eps,seed,cp,alive,n_α,n_β,n_γ,n_δ
α,0.01,37,1000,22,11,0,12,0
α,0.01,37,2000,24,9,15,0,0
α,0.01,37,3000,23,0,19,3,1
α,0.01,37,4000,24,22,0,2,0
α,0.01,37,5000,22,21,1,2,0
α,0.01,37,6000,23,17,0,6,0
α,0.01,37,7000,24,17,5,0,0
α,0.01,37,8000,24,23,0,0,0
α,0.01,37,9000,24,21,1,0,1
α,0.01,37,10000,24,20,2,1,0
α,0.01,37,11000,23,14,9,0,0
α,0.01,38,1000,24,19,4,0,0
α,0.01,38,2000,23,19,0,4,0
α,0.01,38,3000,23,9,3,9,2
α,0.01,38,4000,24,19,4,0,1
α,0.01,38,5000,24,13,6,4,0
α,0.01,38,6000,23,23,0,0,0
α,0.01,38,7000,24,24,0,0,0
α,0.01,38,8000,23,12,0,10,0
α,0.01,38,9000,24,24,0,0,0
α,0.01,38,10000,24,16,5,1,0
α,0.01,38,11000,24,19,3,1,0
α,0.01,39,1000,23,20,3,0,0
α,0.01,39,2000,24,24,0,0,0
α,0.01,39,3000,23,18,4,1,0
α,0.01,39,4000,24,18,3,2,0
α,0.01,39,5000,24,10,14,0,0
α,0.01,39,6000,23,7,16,0,0
α,0.01,39,7000,23,21,0,0,2
α,0.01,39,8000,24,23,0,0,0
α,0.01,39,9000,22,12,11,0,0
α,0.01,39,10000,23,7,1,13,1
α,0.01,39,11000,23,20,3,0,0
α,0.01,40,1000,21,22,0,0,0
α,0.01,40,2000,23,15,6,0,0
α,0.01,40,3000,24,13,11,0,0
α,0.01,40,4000,22,17,0,5,0
α,0.01,40,5000,23,12,4,7,1
α,0.01,40,6000,23,16,0,8,0
α,0.01,40,7000,23,16,2,3,1
α,0.01,40,8000,24,19,0,4,0
α,0.01,40,9000,23,21,0,1,1
α,0.01,40,10000,23,16,0,7,0
α,0.01,40,11000,23,19,0,5,0
α,0.01,41,1000,23,16,3,4,0
α,0.01,42,1000,23,20,1,0,0
α,0.01,42,2000,23,14,9,1,0
α,0.01,42,3000,23,23,0,1,0
α,0.01,42,4000,23,22,2,0,0
α,0.01,42,5000,23,20,0,4,0
α,0.01,42,6000,24,19,5,0,0
α,0.01,42,7000,24,18,0,3,0
α,0.01,42,8000,24,23,0,0,0
α,0.01,42,9000,22,18,2,3,0
α,0.01,42,10000,23,21,0,1,2
α,0.01,42,11000,24,20,2,0,0
α,0.01,43,1000,23,21,2,1,0
α,0.01,43,2000,23,13,10,0,0
α,0.01,43,3000,24,23,0,0,0
α,0.01,43,4000,23,11,13,0,0
α,0.01,43,5000,24,2,19,0,1
α,0.01,43,6000,22,8,0,16,0
α,0.01,44,1000,24,23,0,0,0
α,0.01,44,2000,23,14,0,7,2
α,0.01,44,3000,24,21,2,0,1
α,0.01,44,4000,24,17,1,5,1
α,0.01,44,5000,23,17,6,0,0
α,0.01,44,6000,23,22,0,2,0
α,0.01,44,7000,23,0,0,21,1
α,0.01,45,1000,23,21,1,1,1
α,0.01,45,2000,24,14,1,7,1
α,0.01,45,3000,22,21,1,0,2
α,0.01,45,4000,24,0,11,12,1
α,0.01,45,5000,23,16,7,0,0
α,0.01,45,6000,24,23,0,0,0
α,0.01,45,7000,24,19,0,2,1
α,0.01,45,8000,24,15,5,3,0
α,0.01,45,9000,24,12,8,4,0
α,0.01,45,10000,23,22,0,2,0
α,0.01,45,11000,24,3,21,0,0
α,0.01,46,1000,23,24,0,0,0
α,0.01,46,2000,23,20,0,3,0
α,0.01,46,3000,23,11,7,4,0
α,0.01,46,4000,24,21,2,1,0
α,0.01,46,5000,21,19,1,3,0
α,0.01,46,6000,23,23,0,0,1
α,0.01,46,7000,24,4,12,8,0
α,0.01,46,8000,24,21,0,1,1
α,0.01,46,9000,24,16,0,7,1
α,0.01,46,10000,23,19,1,4,0
α,0.01,46,11000,24,17,0,5,0
α,0.01,47,1000,24,18,5,0,1
α,0.01,47,2000,23,6,16,0,0
α,0.01,47,3000,24,0,0,24,0
α,0.01,47,4000,23,18,6,0,0
α,0.01,47,5000,23,22,0,1,0
α,0.01,47,6000,23,18,4,0,0
α,0.01,47,7000,22,21,2,0,0
α,0.01,47,8000,23,16,6,0,0
α,0.01,47,9000,24,14,7,3,0
α,0.01,47,10000,23,24,0,0,0
α,0.01,47,11000,24,12,8,2,1
α,0.01,48,1000,23,23,0,0,1
α,0.01,48,2000,24,23,0,0,0
α,0.01,48,3000,23,21,0,0,0
α,0.01,48,4000,23,15,0,8,0
α,0.01,48,5000,23,6,4,13,0
α,0.01,48,6000,22,20,4,0,0
α,0.01,48,7000,21,20,0,3,0
α,0.01,48,8000,24,23,0,1,0
α,0.01,48,9000,23,22,0,0,0
α,0.01,48,10000,24,7,17,0,0
α,0.01,48,11000,23,16,0,7,0
α,0.01,49,1000,23,6,11,6,0
α,0.01,49,2000,23,20,3,0,0
α,0.01,49,3000,23,15,0,5,1
α,0.01,49,4000,22,21,3,0,0
α,0.01,49,5000,24,22,2,0,0
α,0.01,49,6000,23,16,6,1,1
α,0.01,50,1000,24,23,0,1,0
α,0.01,50,2000,22,15,8,0,0
α,0.01,50,3000,23,18,3,2,1
α,0.01,50,4000,23,10,5,8,0
α,0.01,50,5000,23,19,0,3,0
α,0.01,50,6000,24,18,2,3,0
α,0.01,50,7000,24,7,9,7,1
α,0.01,50,8000,23,21,2,1,0
α,0.01,50,9000,24,21,2,0,0
α,0.01,50,10000,24,20,3,0,0
α,0.01,50,11000,24,18,6,0,0
